No,コスチューム名,レアリティ,星,Normal Slot 1,Normal Slot 2,Normal Slot 3,Normal Slot 4,Normal Slot 5,Normal Slot 6,Normal Slot 7,Normal Slot 8,Normal Slot 9,Normal Slot 10,Special Slot 1,Special Slot 2
1,ヒーローコスチューム,C,0,Assault,Rapid,Assault,Strike,Rapid,Technical,Strike,Technical,Support,Support,Strike,Rapid(H)
2,ヒーローコスチューム〈ヴィランライク〉,R,1,Technical,Rapid,Technical,Strike,Assault,Support,Assault,Assault,Strike,Support,Rapid,Assault(H)
3,ヒーローコスチューム〈ヒート〉,R,1,Strike,Support,Assault,Support,Technical,Rapid,Support,Strike,Assault,Technical,Support,Strike(V)
4,ヒーローコスチューム〈コンバット〉,R,1,Support,Strike,Strike,Technical,Rapid,Assault,Technical,Strike,Rapid,Assault,Technical,Support(V)
5,雄英ジャージ,PUR,3,Strike,Strike,Technical,Support(H),Rapid(V),Assault,Support,Assault,Support(H),Technical(V),Technical,Technical(H)
6,道化師,PUR,3,Support,Rapid,Rapid,Technical(V),Technical(V),Technical,Strike,Assault,Support(H),Assault(H),Assault,Rapid(H)
7,道化師〈ヴィランライク〉,PUR,3,Strike,Assault,Support,Strike(H),Technical(H),Assault,Rapid,Rapid,Strike(V),Technical(V),Strike,Support(V)
8,道化師〈ヒート〉,PUR,3,Technical,Support,Assault,Strike(V),Rapid(H),Rapid,Assault,Rapid,Rapid(V),Support(H),Technical,Assault(H)
9,道化師〈コンバット〉,PUR,3,Support,Strike,Support,Rapid(V),Technical(V),Assault,Support,Strike,Technical(H),Assault(H),Rapid,Strike(H)
10,道化師〈ファンシー〉,PUR,3,Strike,Assault,Assault,Rapid(H),Support(V),Assault,Technical,Support,Assault(H),Technical(V),Support,Technical(V)
11,道化師〈デンジャラス〉,PUR,3,Support,Strike,Strike,Support(H),Technical(H),Technical,Support,Strike,Support(V),Technical(V),Strike,Strike(V)
